Group,Biomass,PB,QB,Diet,F_Trawl,F_Codpot,F_Longline,F_Halibut,F_Crabpot,F_Salmon,F_Herring,F_Indigenous,F_Subsistence
Lg.Sculpins,0.1,0.7,0.7,0.3,0.5,0.5,0.5,0,0,0,0,0,0
Octopi ,0.8,0.7,0.7,0.8,0.5,0.5,0.5,0,0,0,0,0,0
Squids,0.8,0.7,0.7,0.8,0.5,0,0,0,0,0,0,0,0
Salmon.returning,0.8,0.5,0.8,0.7,0,0,0,0,0,0.1,0,0,0.1
Salmon.smolts,0.8,0.6,0.6,0.8,0,0,0,0,0,0,0,0,0
Mycto.bathy,0.8,0.7,0.7,0.8,0.5,0,0,0,0,0,0,0,0
Capelin,0.8,0.7,0.7,0.8,0.5,0,0,0,0,0,0,0,0
Sandlance,0.8,0.7,0.7,0.8,0.5,0,0,0,0,0,0,0,0
Other.forage,0.8,0.7,0.7,0.8,0.5,0,0,0,0,0,0,0,0
Bairdi,0.1,0.6,0.8,0.7,0,0,0,0,0.1,0,0,0,0
King.Crab,0.1,0.6,0.8,0.7,0,0,0,0,0.1,0,0,0,0
Opilio,0.1,0.6,0.8,0.7,0,0,0,0,0.1,0,0,0,0
Pandalidae,0.8,0.5,0.8,0.8,0.5,0,0,0,0,0,0,0,0
Ben.zooplankton,0.8,0.7,0.7,0.8,0,0,0,0,0,0,0,0,0
Motile.epifauna,0.8,0.6,0.7,0.8,0.5,0.5,0.5,0,0.8,0,0,0,0
Structural.epifauna,0.8,0.6,0.7,0.8,0.5,0.5,0.5,0,0,0,0,0,0
Infauna,0.8,0.6,0.7,0.8,0,0.5,0,0,0,0,0,0,0
Jellyfish,0.5,0.6,0.6,0.8,0.5,0.5,0,0,0,0,0,0,0
Pel.zooplankton,0.8,0.7,0.7,0.8,0,0,0,0,0,0,0,0,0
Euphausiids,0.8,0.5,0.8,0.8,0,0,0,0,0,0,0,0,0
Copepods,0.8,0.7,0.8,0.8,0,0,0,0,0,0,0,0,0
Pelagic.microbes,0.8,0.7,0.7,0.8,0,0,0,0,0,0,0,0,0
Benthic.microbes,0.8,0.7,0.7,0.1,0,0,0,0,0,0,0,0,0
Lg.phytoplankton,0.8,0.5,0,0.01,0,0,0,0,0,0,0,0,0
Sm.phytoplankton,0.8,0.5,0,0.01,0,0,0,0,0,0,0,0,0
Discards.offal,0,0,0,0,0,0,0,0,0,0,0,0,0
Pelagic.Detritus,0,0,0,0,0,0,0,0,0,0,0,0,0
Benthic.Detritus,0,0,0,0,0,0,0,0,0,0,0,0,0
